Idx, x, y, duration
0,436,252,125
1,431,259,275
2,736,235,325
3,694,257,316
4,489,394,250
5,274,258,275
6,434,84,50
0,652,294,458
1,524,141,458
2,387,349,291
3,289,317,408
4,464,148,333
5,722,307,283
6,979,140,200
7,599,259,266
8,704,264,300
9,718,313,175
10,933,236,216
0,671,258,425
1,543,105,425
2,552,288,258
3,805,575,58
4,879,284,133
5,782,262,275
6,871,124,50
7,733,333,300
8,777,275,333
0,695,191,217
1,567,38,217
2,476,300,275
3,935,183,117
4,838,219,158
5,525,233,133
6,738,375,233
7,731,325,158
8,311,353,167
9,256,325,233
10,447,166,541
11,745,294,158
12,772,252,50
13,724,313,658
14,349,306,316
0,444,599,358
1,332,310,1241
2,357,252,533
3,364,314,491
4,342,260,125
5,353,294,92
6,378,256,58
7,481,175,616
8,517,128,58
9,486,165,92
10,451,243,75
11,441,285,333
12,640,307,300
13,699,296,158
0,354,253,175
1,278,309,25
2,280,298,17
3,766,320,183
4,709,282,167
5,249,234,133
6,299,298,341
7,777,306,233
8,719,310,300
9,426,225,8
10,309,276,233
11,262,315,141
0,815,510,291
1,687,357,291
2,693,259,100
3,706,220,58
4,718,160,17
5,706,194,142
6,607,201,167
7,310,274,8
8,335,177,8
9,752,148,58
10,677,494,8
11,713,244,183
12,929,422,142
13,749,372,166
14,754,230,142
15,752,176,225
16,765,178,67
17,767,222,58
18,359,235,133
19,323,261,50
20,295,221,258
21,314,191,100
22,789,456,17
23,750,125,8
0,280,216,133
1,267,320,216
2,226,349,283
3,332,330,92
4,475,222,200
5,758,212,83
6,737,355,50
7,290,348,191
8,293,400,67
9,323,458,108
10,296,435,100
11,387,362,250
12,235,282,50
13,134,292,233
0,298,266,17
1,764,266,17
2,767,117,42
3,764,177,100
4,737,192,8
0,401,353,75
1,320,304,300
2,514,176,92
3,761,100,100
4,427,343,183
5,264,300,483
6,641,180,150
0,743,653,1266
1,615,500,1266
2,400,340,650
3,706,339,75
4,698,352,1824
5,689,322,833
6,619,304,225
7,647,327,525
0,652,407,3031
1,524,254,3031
2,500,253,50
3,301,344,1066
4,405,276,2582
0,488,443,58
0,392,221,175
1,315,230,117
2,718,138,8
3,710,170,142
4,695,310,125
5,675,350,425
6,455,389,8
0,582,367,8
1,623,237,8
2,717,252,75
3,668,355,142
4,676,318,166
5,396,361,175
6,265,290,233
7,686,295,167
8,653,148,108
