Idx, x, y, duration
0,445,618,258
1,533,338,258
2,360,324,175
3,298,319,175
4,462,141,366
5,745,284,683
6,327,333,258
7,493,449,266
8,559,403,325
9,802,279,75
0,723,433,59
1,595,280,59
2,611,274,108
3,687,330,283
4,328,328,258
5,493,425,125
6,451,237,441
7,280,321,266
8,211,334,83
9,248,535,8
0,810,516,25
1,641,403,208
2,418,332,200
3,301,336,216
4,504,405,358
5,747,337,341
6,786,311,108
7,746,312,83
8,451,208,358
9,360,151,108
10,348,328,83
11,79,146,225
0,674,283,425
1,546,130,425
2,389,393,358
3,283,339,283
4,546,195,200
5,740,289,233
6,713,320,433
7,670,522,441
8,350,368,233
9,261,316,250
10,452,172,391
11,712,339,566
0,556,627,533
1,428,474,533
2,463,355,266
3,313,298,375
4,691,307,516
5,438,284,250
6,95,89,416
7,408,317,358
8,688,339,699
0,335,325,191
1,249,344,241
2,469,187,317
3,724,292,233
4,720,334,341
5,282,359,466
6,235,684,83
0,639,463,325
1,511,310,325
2,386,319,8
3,345,259,100
4,662,304,417
5,391,225,491
6,345,340,150
0,544,442,566
1,416,289,566
2,728,309,300
3,291,262,316
4,240,308,200
5,319,127,67
6,84,88,541
7,780,126,133
8,873,276,150
0,818,365,266
1,690,212,266
2,641,135,191
3,420,247,300
4,272,290,300
5,698,280,650
6,392,331,300
7,272,325,92
8,247,294,308
9,730,264,116
10,745,215,50
11,703,262,333
0,962,548,633
1,834,395,633
2,698,341,191
3,722,289,192
4,419,226,200
5,277,269,67
6,255,301,308
7,422,193,500
8,438,148,266
9,756,294,1158
0,556,99,125
1,601,286,75
2,608,55,108
3,344,120,8
4,293,248,8
0,517,412,850
1,389,259,850
2,371,364,133
3,440,319,200
4,711,322,83
5,750,330,2623
0,457,283,8
1,457,294,8
2,690,303,8
3,765,282,92
4,604,316,158
0,678,434,491
1,550,281,491
2,383,282,241
3,717,322,758
4,717,303,416
5,738,325,658
6,892,323,325
